Time,THERMAL ZONE 2:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,5.504815E+03,2.170417E+02,3.372100E-01,1.519151E-02,5.504815E+03,2.481248E+02,3.372100E-01,1.736735E-02,5.527490E+03,3.735449E+02,3.385990E-01,2.614738E-02,7.234845E+03,1.495441E+03,4.433036E-01,1.046740E-01,5.527490E+03,2.319281E+02,3.385990E-01,1.623355E-02 
00:30:00,5.504833E+03,1.910325E+02,3.372111E-01,1.337091E-02,5.504833E+03,2.201376E+02,3.372111E-01,1.540826E-02,5.527508E+03,3.358989E+02,3.386002E-01,2.351198E-02,7.234875E+03,1.453955E+03,4.433055E-01,1.017700E-01,5.527508E+03,2.041748E+02,3.386002E-01,1.429086E-02 
00:45:00,5.504849E+03,1.659210E+02,3.372121E-01,1.161316E-02,5.504849E+03,1.932158E+02,3.372121E-01,1.352376E-02,5.527524E+03,3.000636E+02,3.386011E-01,2.100336E-02,7.234901E+03,1.413754E+03,4.433071E-01,9.895584E-02,5.527524E+03,1.775182E+02,3.386011E-01,1.242494E-02 
01:00:00,5.504864E+03,1.416831E+02,3.372130E-01,9.916584E-03,5.504864E+03,1.673213E+02,3.372130E-01,1.171119E-02,5.527538E+03,2.659611E+02,3.386020E-01,1.861607E-02,7.234925E+03,1.374783E+03,4.433085E-01,9.622780E-02,5.527538E+03,1.519112E+02,3.386020E-01,1.063252E-02 
01:15:00,5.504876E+03,1.199042E+02,3.372138E-01,8.392152E-03,5.504876E+03,1.440261E+02,3.372138E-01,1.008058E-02,5.527551E+03,2.351136E+02,3.386028E-01,1.645666E-02,7.234945E+03,1.342169E+03,4.433098E-01,9.394478E-02,5.527551E+03,1.289185E+02,3.386028E-01,9.023112E-03 
01:30:00,5.504887E+03,9.937476E+01,3.372145E-01,6.955206E-03,5.504887E+03,1.221103E+02,3.372145E-01,8.546566E-03,5.527562E+03,2.062554E+02,3.386035E-01,1.443656E-02,7.234963E+03,1.311263E+03,4.433109E-01,9.178134E-02,5.527562E+03,1.073128E+02,3.386035E-01,7.510824E-03 
01:45:00,5.504897E+03,8.007652E+01,3.372151E-01,5.604466E-03,5.504897E+03,1.015443E+02,3.372151E-01,7.107059E-03,5.527572E+03,1.793091E+02,3.386041E-01,1.255033E-02,7.234979E+03,1.281958E+03,4.433119E-01,8.972997E-02,5.527572E+03,8.705968E+01,3.386041E-01,6.093236E-03 
02:00:00,5.504906E+03,6.198779E+01,3.372156E-01,4.338409E-03,5.504906E+03,8.229635E+01,3.372156E-01,5.759838E-03,5.527581E+03,1.541985E+02,3.386046E-01,1.079263E-02,7.234994E+03,1.254177E+03,4.433128E-01,8.778531E-02,5.527581E+03,6.812342E+01,3.386046E-01,4.767850E-03 
02:15:00,5.504914E+03,4.473030E+01,3.372161E-01,3.130559E-03,5.504914E+03,6.397873E+01,3.372161E-01,4.477758E-03,5.527589E+03,1.304941E+02,3.386051E-01,9.133407E-03,7.235006E+03,1.227494E+03,4.433135E-01,8.591748E-02,5.527589E+03,5.011346E+01,3.386051E-01,3.507325E-03 
02:30:00,5.504922E+03,2.828098E+01,3.372166E-01,1.979296E-03,5.504922E+03,4.655822E+01,3.372166E-01,3.258494E-03,5.527597E+03,1.081230E+02,3.386056E-01,7.567537E-03,7.235018E+03,1.201870E+03,4.433142E-01,8.412383E-02,5.527597E+03,3.299573E+01,3.386056E-01,2.309273E-03 
