Time,THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5::Des Sens Cool Load [W],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5::Des Cool Mass Flow [kg/s] 
03:00:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,0.000000E+00,4.160291E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
03:15:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,0.000000E+00,4.160291E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
03:30:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,0.000000E+00,4.160291E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
03:45:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,0.000000E+00,4.160291E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
04:00:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,0.000000E+00,4.160291E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
04:15:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,0.000000E+00,4.160291E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
04:30:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,0.000000E+00,4.160291E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
04:45:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,0.000000E+00,4.160291E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
05:00:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,0.000000E+00,4.160291E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
05:15:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,0.000000E+00,4.160291E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
05:30:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,0.000000E+00,4.160291E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
05:45:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,0.000000E+00,4.160291E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
06:00:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,0.000000E+00,4.160291E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
06:15:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,0.000000E+00,4.160291E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
06:30:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,0.000000E+00,4.160291E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
06:45:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,0.000000E+00,4.160291E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
07:00:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,0.000000E+00,4.160291E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
07:15:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,0.000000E+00,4.160291E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
07:30:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,0.000000E+00,4.160291E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
07:45:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,2.209217E+01,4.160291E-02,1.554816E-03,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
08:00:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,5.942397E+01,4.160291E-02,4.167805E-03,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
08:15:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,1.134400E+02,4.160291E-02,7.948088E-03,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
08:30:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,1.871858E+02,4.160291E-02,1.310912E-02,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
08:45:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,2.555741E+02,4.160291E-02,1.788649E-02,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
09:00:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,3.247524E+02,4.160291E-02,2.272750E-02,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
09:15:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,3.910831E+02,4.160291E-02,2.736957E-02,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
09:30:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,4.492303E+02,4.160291E-02,3.143895E-02,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
09:45:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,5.000419E+02,4.160291E-02,3.499495E-02,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
10:00:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,5.421231E+02,4.160291E-02,3.793996E-02,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
10:15:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,6.787676E+02,5.755800E+02,4.160291E-02,4.028141E-02,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
10:30:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,1.992350E+01,4.160445E-02,1.395263E-03,6.787676E+02,6.008853E+02,4.160291E-02,4.205237E-02,6.787926E+02,0.000000E+00,4.160445E-02,0.000000E+00,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
10:45:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,4.444515E+01,4.160445E-02,3.111412E-03,6.787676E+02,6.185432E+02,4.160291E-02,4.328814E-02,6.787926E+02,4.775579E+00,4.160445E-02,3.360601E-04,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
11:00:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,8.072365E+01,4.160445E-02,5.650328E-03,6.787676E+02,6.290118E+02,4.160291E-02,4.402078E-02,6.787926E+02,1.406773E+01,4.160445E-02,9.863817E-04,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
11:15:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,1.293559E+02,4.160445E-02,9.053806E-03,6.787676E+02,6.321458E+02,4.160291E-02,4.424011E-02,6.787926E+02,2.667868E+01,4.160445E-02,1.868947E-03,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
11:30:00,6.794317E+02,0.000000E+00,4.164362E-02,0.000000E+00,6.787926E+02,1.688398E+02,4.160445E-02,1.181612E-02,6.787676E+02,6.270859E+02,4.160291E-02,4.388600E-02,6.787926E+02,4.382822E+01,4.160445E-02,3.069141E-03,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
11:45:00,6.794317E+02,4.446989E+00,4.164362E-02,3.131225E-04,6.787926E+02,2.145806E+02,4.160445E-02,1.501722E-02,6.787676E+02,6.119869E+02,4.160291E-02,4.282931E-02,6.787926E+02,6.017282E+01,4.160445E-02,4.211156E-03,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
12:00:00,6.794317E+02,1.450664E+01,4.164362E-02,1.017159E-03,6.787926E+02,2.588041E+02,4.160445E-02,1.811215E-02,6.787676E+02,5.847927E+02,4.160291E-02,4.092615E-02,6.787926E+02,7.570874E+01,4.160445E-02,5.298403E-03,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
12:15:00,6.794317E+02,2.769659E+01,4.164362E-02,1.940246E-03,6.787926E+02,2.998110E+02,4.160445E-02,2.098198E-02,6.787676E+02,5.459328E+02,4.160291E-02,3.820658E-02,6.787926E+02,9.131605E+01,4.160445E-02,6.390665E-03,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
12:30:00,6.794317E+02,4.613437E+01,4.164362E-02,3.230595E-03,6.787926E+02,3.380309E+02,4.160445E-02,2.365676E-02,6.787676E+02,5.012079E+02,4.160291E-02,3.507655E-02,6.787926E+02,1.054999E+02,4.160445E-02,7.383307E-03,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
12:45:00,6.794317E+02,6.716117E+01,4.164362E-02,4.700231E-03,6.787926E+02,3.721983E+02,4.160445E-02,2.604794E-02,6.787676E+02,4.561642E+02,4.160291E-02,3.192420E-02,6.787926E+02,1.186014E+02,4.160445E-02,8.300201E-03,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
13:00:00,6.794317E+02,9.544104E+01,4.164362E-02,6.679349E-03,6.787926E+02,4.018024E+02,4.160445E-02,2.811975E-02,6.787676E+02,4.185318E+02,4.160291E-02,2.929054E-02,6.787926E+02,1.307201E+02,4.160445E-02,9.148318E-03,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
13:15:00,6.794317E+02,1.370581E+02,4.164362E-02,9.591880E-03,6.787926E+02,4.267464E+02,4.160445E-02,2.986543E-02,6.787676E+02,3.916937E+02,4.160291E-02,2.741230E-02,6.787926E+02,1.420589E+02,4.160445E-02,9.941853E-03,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
13:30:00,6.794317E+02,1.904335E+02,4.164362E-02,1.332730E-02,6.787926E+02,4.472231E+02,4.160445E-02,3.129847E-02,6.787676E+02,3.735362E+02,4.160291E-02,2.614157E-02,6.787926E+02,1.529456E+02,4.160445E-02,1.070375E-02,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
13:45:00,6.794317E+02,2.572174E+02,4.164362E-02,1.800111E-02,6.787926E+02,4.634809E+02,4.160445E-02,3.243626E-02,6.787676E+02,3.626675E+02,4.160291E-02,2.538093E-02,6.787926E+02,1.637037E+02,4.160445E-02,1.145665E-02,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
14:00:00,6.794317E+02,3.315048E+02,4.164362E-02,2.320004E-02,6.787926E+02,4.756797E+02,4.160445E-02,3.328998E-02,6.787676E+02,3.554897E+02,4.160291E-02,2.487860E-02,6.787926E+02,1.745811E+02,4.160445E-02,1.221789E-02,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
14:15:00,6.794317E+02,4.080702E+02,4.164362E-02,2.855839E-02,6.787926E+02,4.837125E+02,4.160445E-02,3.385215E-02,6.787676E+02,3.504375E+02,4.160291E-02,2.452502E-02,6.787926E+02,1.854352E+02,4.160445E-02,1.297750E-02,1.709718E+02,0.000000E+00,1.047917E-02,0.000000E+00 
