Time,THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5::Des Sens Cool Load [W],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5::Des Cool Mass Flow [kg/s],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1::Des Sens Cool Load [W],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1::Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3::Des Sens Cool Load [W],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3::Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4::Des Sens Cool Load [W],THERMAL ZONE 4:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4::Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2::Des Sens Cool Load [W],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2::Des Cool Mass Flow [kg/s] 
03:30:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
03:45:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
04:00:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
04:15:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
04:30:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
04:45:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
05:00:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
05:15:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
05:30:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
05:45:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
06:00:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
06:15:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
06:30:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
06:45:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
07:00:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
07:15:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
07:30:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
07:45:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
08:00:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
08:15:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
08:30:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
08:45:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
