Time,THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4::Des Sens Cool Load [W],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4::Des Cool Mass Flow [kg/s],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1::Des Sens Cool Load [W],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1::Des Cool Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
08:30:00,1.627491E+02,0.000000E+00,9.975190E-03,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00 
08:45:00,1.627491E+02,0.000000E+00,9.975190E-03,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00 
09:00:00,1.627491E+02,0.000000E+00,9.975190E-03,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00 
09:15:00,1.627491E+02,0.000000E+00,9.975190E-03,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00 
09:30:00,1.627491E+02,0.000000E+00,9.975190E-03,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00 
09:45:00,1.627491E+02,0.000000E+00,9.975190E-03,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00 
10:00:00,1.627491E+02,0.000000E+00,9.975190E-03,0.000000E+00,6.224150E+02,5.746358E-01,3.814896E-02,4.038019E-05,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00 
10:15:00,1.627491E+02,0.000000E+00,9.975190E-03,0.000000E+00,6.224150E+02,5.491188E+00,3.814896E-02,3.849006E-04,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00 
10:30:00,1.627491E+02,0.000000E+00,9.975190E-03,0.000000E+00,6.224150E+02,1.164535E+01,3.814896E-02,8.155924E-04,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00 
10:45:00,1.627491E+02,0.000000E+00,9.975190E-03,0.000000E+00,6.224150E+02,1.899747E+01,3.814896E-02,1.330121E-03,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00 
11:00:00,1.627491E+02,0.000000E+00,9.975190E-03,0.000000E+00,6.224150E+02,2.605242E+01,3.814896E-02,1.823686E-03,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00 
11:15:00,1.627491E+02,0.000000E+00,9.975190E-03,0.000000E+00,6.224150E+02,2.818832E+01,3.814896E-02,1.972721E-03,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00 
11:30:00,1.627491E+02,0.000000E+00,9.975190E-03,0.000000E+00,6.224150E+02,2.645428E+01,3.814896E-02,1.851365E-03,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00 
11:45:00,1.627491E+02,0.000000E+00,9.975190E-03,0.000000E+00,6.224150E+02,1.910215E+01,3.814896E-02,1.336836E-03,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00 
12:00:00,1.627491E+02,0.000000E+00,9.975190E-03,0.000000E+00,6.224150E+02,1.147257E+01,3.814896E-02,8.028908E-04,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00 
12:15:00,1.627491E+02,0.000000E+00,9.975190E-03,0.000000E+00,6.224150E+02,4.420112E+00,3.814896E-02,3.093352E-04,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00 
12:30:00,1.627491E+02,0.000000E+00,9.975190E-03,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00 
12:45:00,1.627491E+02,0.000000E+00,9.975190E-03,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00 
13:00:00,1.627491E+02,0.000000E+00,9.975190E-03,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.224150E+02,5.725586E+00,3.814896E-02,4.009902E-04 
13:15:00,1.627491E+02,0.000000E+00,9.975190E-03,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.224150E+02,1.657598E+01,3.814896E-02,1.160472E-03 
13:30:00,1.627491E+02,0.000000E+00,9.975190E-03,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.224150E+02,3.232148E+01,3.814896E-02,2.262399E-03 
13:45:00,1.627491E+02,0.000000E+00,9.975190E-03,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.224150E+02,5.128109E+01,3.814896E-02,3.589257E-03 
14:00:00,1.627491E+02,0.000000E+00,9.975190E-03,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.224150E+02,6.743261E+01,3.814896E-02,4.719299E-03 
14:15:00,1.627491E+02,0.000000E+00,9.975190E-03,0.000000E+00,6.224150E+02,0.000000E+00,3.814896E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.227577E+02,0.000000E+00,3.816997E-02,0.000000E+00,6.224150E+02,8.063701E+01,3.814896E-02,5.643250E-03 
