Time,THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4::Des Sens Cool Load [W],THERMAL ZONE 4:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4::Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,1.860182E+04,0.000000E+00,1.140140E+00,0.000000E+00,1.493605E+05,0.000000E+00,9.154578E+00,0.000000E+00,1.860182E+04,0.000000E+00,1.140140E+00,0.000000E+00,1.875572E+04,0.000000E+00,1.149573E+00,0.000000E+00,1.875572E+04,0.000000E+00,1.149573E+00,0.000000E+00 
00:30:00,1.860182E+04,0.000000E+00,1.140140E+00,0.000000E+00,1.493605E+05,0.000000E+00,9.154578E+00,0.000000E+00,1.860182E+04,0.000000E+00,1.140140E+00,0.000000E+00,1.875572E+04,0.000000E+00,1.149573E+00,0.000000E+00,1.875572E+04,0.000000E+00,1.149573E+00,0.000000E+00 
00:45:00,1.860182E+04,0.000000E+00,1.140140E+00,0.000000E+00,1.493605E+05,0.000000E+00,9.154578E+00,0.000000E+00,1.860182E+04,0.000000E+00,1.140140E+00,0.000000E+00,1.875572E+04,0.000000E+00,1.149573E+00,0.000000E+00,1.875572E+04,0.000000E+00,1.149573E+00,0.000000E+00 
01:00:00,1.860182E+04,0.000000E+00,1.140140E+00,0.000000E+00,1.493605E+05,0.000000E+00,9.154578E+00,0.000000E+00,1.860182E+04,0.000000E+00,1.140140E+00,0.000000E+00,1.875572E+04,0.000000E+00,1.149573E+00,0.000000E+00,1.875572E+04,0.000000E+00,1.149573E+00,0.000000E+00 
01:15:00,1.860182E+04,0.000000E+00,1.140140E+00,0.000000E+00,1.493605E+05,0.000000E+00,9.154578E+00,0.000000E+00,1.860182E+04,0.000000E+00,1.140140E+00,0.000000E+00,1.875572E+04,0.000000E+00,1.149573E+00,0.000000E+00,1.875572E+04,0.000000E+00,1.149573E+00,0.000000E+00 
01:30:00,1.860182E+04,0.000000E+00,1.140140E+00,0.000000E+00,1.493605E+05,0.000000E+00,9.154578E+00,0.000000E+00,1.860182E+04,0.000000E+00,1.140140E+00,0.000000E+00,1.875572E+04,0.000000E+00,1.149573E+00,0.000000E+00,1.875572E+04,0.000000E+00,1.149573E+00,0.000000E+00 
01:45:00,1.860182E+04,0.000000E+00,1.140140E+00,0.000000E+00,1.493605E+05,0.000000E+00,9.154578E+00,0.000000E+00,1.860182E+04,0.000000E+00,1.140140E+00,0.000000E+00,1.875572E+04,0.000000E+00,1.149573E+00,0.000000E+00,1.875572E+04,0.000000E+00,1.149573E+00,0.000000E+00 
02:00:00,1.860182E+04,0.000000E+00,1.140140E+00,0.000000E+00,1.493605E+05,0.000000E+00,9.154578E+00,0.000000E+00,1.860182E+04,0.000000E+00,1.140140E+00,0.000000E+00,1.875572E+04,0.000000E+00,1.149573E+00,0.000000E+00,1.875572E+04,0.000000E+00,1.149573E+00,0.000000E+00 
02:15:00,1.860182E+04,0.000000E+00,1.140140E+00,0.000000E+00,1.493605E+05,0.000000E+00,9.154578E+00,0.000000E+00,1.860182E+04,0.000000E+00,1.140140E+00,0.000000E+00,1.875572E+04,0.000000E+00,1.149573E+00,0.000000E+00,1.875572E+04,0.000000E+00,1.149573E+00,0.000000E+00 
02:30:00,1.860182E+04,0.000000E+00,1.140140E+00,0.000000E+00,1.493605E+05,0.000000E+00,9.154578E+00,0.000000E+00,1.860182E+04,0.000000E+00,1.140140E+00,0.000000E+00,1.875572E+04,0.000000E+00,1.149573E+00,0.000000E+00,1.875572E+04,0.000000E+00,1.149573E+00,0.000000E+00 
