Time,THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5::Des Sens Cool Load [W],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5::Des Cool Mass Flow [kg/s],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3::Des Sens Cool Load [W],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3::Des Cool Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
03:15:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
03:30:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
03:45:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
04:00:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
04:15:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
04:30:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
04:45:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
05:00:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
05:15:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
05:30:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
05:45:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
