Time,THERMAL ZONE 3:BOISE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:BOISE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:BOISE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:BOISE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:BOISE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2::Des Sens Cool Load [W],THERMAL ZONE 2:BOISE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2::Des Cool Mass Flow [kg/s],THERMAL ZONE 1:BOISE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:BOISE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:BOISE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:BOISE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:BOISE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4::Des Sens Cool Load [W],THERMAL ZONE 4:BOISE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4::Des Cool Mass Flow [kg/s],THERMAL ZONE 5:BOISE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:BOISE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:BOISE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:BOISE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
08:30:00,2.993214E+03,0.000000E+00,1.834596E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00,2.993214E+03,2.047396E+02,1.834596E-01,1.433273E-02,3.864489E+03,0.000000E+00,2.368617E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00 
08:45:00,2.993214E+03,0.000000E+00,1.834596E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00,2.993214E+03,3.524496E+02,1.834596E-01,2.466974E-02,3.864489E+03,0.000000E+00,2.368617E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00 
09:00:00,2.993214E+03,0.000000E+00,1.834596E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00,2.993214E+03,5.351207E+02,1.834596E-01,3.744903E-02,3.864489E+03,0.000000E+00,2.368617E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00 
09:15:00,2.993214E+03,0.000000E+00,1.834596E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00,2.993214E+03,6.731417E+02,1.834596E-01,4.710751E-02,3.864489E+03,0.000000E+00,2.368617E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00 
09:30:00,2.993214E+03,0.000000E+00,1.834596E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00,2.993214E+03,8.114756E+02,1.834596E-01,5.678821E-02,3.864489E+03,0.000000E+00,2.368617E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00 
09:45:00,2.993214E+03,0.000000E+00,1.834596E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00,2.993214E+03,9.355276E+02,1.834596E-01,6.546973E-02,3.864489E+03,0.000000E+00,2.368617E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00 
10:00:00,2.993214E+03,0.000000E+00,1.834596E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00,2.993214E+03,1.032602E+03,1.834596E-01,7.226359E-02,3.864489E+03,0.000000E+00,2.368617E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00 
10:15:00,2.993214E+03,0.000000E+00,1.834596E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00,2.993214E+03,1.107690E+03,1.834596E-01,7.751896E-02,3.864489E+03,0.000000E+00,2.368617E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00 
10:30:00,2.993214E+03,0.000000E+00,1.834596E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00,2.993214E+03,1.160628E+03,1.834596E-01,8.122422E-02,3.864489E+03,0.000000E+00,2.368617E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00 
10:45:00,2.993214E+03,0.000000E+00,1.834596E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00,2.993214E+03,1.191819E+03,1.834596E-01,8.340748E-02,3.864489E+03,0.000000E+00,2.368617E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00 
