Time,THERMAL ZONE 8:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8::Des Sens Cool Load [W],THERMAL ZONE 8:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8::Des Cool Mass Flow [kg/s],THERMAL ZONE 7:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6::Des Sens Cool Load [W],THERMAL ZONE 6:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6::Des Cool Mass Flow [kg/s],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1::Des Sens Cool Load [W],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1::Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9::Des Sens Cool Load [W],THERMAL ZONE 9:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9::Des Cool Mass Flow [kg/s],THERMAL ZONE 10:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10::Des Sens Cool Load [W],THERMAL ZONE 10:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10::Des Cool Mass Flow [kg/s],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
02:45:00,5.370239E+03,0.000000E+00,3.291518E-01,0.000000E+00,5.393931E+03,0.000000E+00,3.306039E-01,0.000000E+00,5.387758E+03,0.000000E+00,3.302256E-01,0.000000E+00,5.429038E+03,0.000000E+00,3.327557E-01,0.000000E+00,5.393931E+03,0.000000E+00,3.306039E-01,0.000000E+00,5.370239E+03,0.000000E+00,3.291518E-01,0.000000E+00,5.429038E+03,6.202093E+00,3.327557E-01,4.340475E-04,2.230452E+04,0.000000E+00,1.367085E+00,0.000000E+00,2.034755E+04,0.000000E+00,1.247139E+00,0.000000E+00,5.387758E+03,0.000000E+00,3.302256E-01,0.000000E+00 
03:00:00,5.370239E+03,0.000000E+00,3.291518E-01,0.000000E+00,5.393931E+03,0.000000E+00,3.306039E-01,0.000000E+00,5.387758E+03,0.000000E+00,3.302256E-01,0.000000E+00,5.429038E+03,0.000000E+00,3.327557E-01,0.000000E+00,5.393931E+03,0.000000E+00,3.306039E-01,0.000000E+00,5.370239E+03,0.000000E+00,3.291518E-01,0.000000E+00,5.429038E+03,0.000000E+00,3.327557E-01,0.000000E+00,2.230452E+04,0.000000E+00,1.367085E+00,0.000000E+00,2.034755E+04,0.000000E+00,1.247139E+00,0.000000E+00,5.387758E+03,0.000000E+00,3.302256E-01,0.000000E+00 
03:15:00,5.370239E+03,0.000000E+00,3.291518E-01,0.000000E+00,5.393931E+03,0.000000E+00,3.306039E-01,0.000000E+00,5.387758E+03,0.000000E+00,3.302256E-01,0.000000E+00,5.429038E+03,0.000000E+00,3.327557E-01,0.000000E+00,5.393931E+03,0.000000E+00,3.306039E-01,0.000000E+00,5.370239E+03,0.000000E+00,3.291518E-01,0.000000E+00,5.429038E+03,0.000000E+00,3.327557E-01,0.000000E+00,2.230452E+04,0.000000E+00,1.367085E+00,0.000000E+00,2.034755E+04,0.000000E+00,1.247139E+00,0.000000E+00,5.387758E+03,0.000000E+00,3.302256E-01,0.000000E+00 
03:30:00,5.370239E+03,0.000000E+00,3.291518E-01,0.000000E+00,5.393931E+03,0.000000E+00,3.306039E-01,0.000000E+00,5.387758E+03,0.000000E+00,3.302256E-01,0.000000E+00,5.429038E+03,0.000000E+00,3.327557E-01,0.000000E+00,5.393931E+03,0.000000E+00,3.306039E-01,0.000000E+00,5.370239E+03,0.000000E+00,3.291518E-01,0.000000E+00,5.429038E+03,0.000000E+00,3.327557E-01,0.000000E+00,2.230452E+04,0.000000E+00,1.367085E+00,0.000000E+00,2.034755E+04,0.000000E+00,1.247139E+00,0.000000E+00,5.387758E+03,0.000000E+00,3.302256E-01,0.000000E+00 
03:45:00,5.370239E+03,0.000000E+00,3.291518E-01,0.000000E+00,5.393931E+03,0.000000E+00,3.306039E-01,0.000000E+00,5.387758E+03,0.000000E+00,3.302256E-01,0.000000E+00,5.429038E+03,0.000000E+00,3.327557E-01,0.000000E+00,5.393931E+03,0.000000E+00,3.306039E-01,0.000000E+00,5.370239E+03,0.000000E+00,3.291518E-01,0.000000E+00,5.429038E+03,0.000000E+00,3.327557E-01,0.000000E+00,2.230452E+04,0.000000E+00,1.367085E+00,0.000000E+00,2.034755E+04,0.000000E+00,1.247139E+00,0.000000E+00,5.387758E+03,0.000000E+00,3.302256E-01,0.000000E+00 
04:00:00,5.370239E+03,0.000000E+00,3.291518E-01,0.000000E+00,5.393931E+03,0.000000E+00,3.306039E-01,0.000000E+00,5.387758E+03,0.000000E+00,3.302256E-01,0.000000E+00,5.429038E+03,0.000000E+00,3.327557E-01,0.000000E+00,5.393931E+03,0.000000E+00,3.306039E-01,0.000000E+00,5.370239E+03,0.000000E+00,3.291518E-01,0.000000E+00,5.429038E+03,0.000000E+00,3.327557E-01,0.000000E+00,2.230452E+04,0.000000E+00,1.367085E+00,0.000000E+00,2.034755E+04,0.000000E+00,1.247139E+00,0.000000E+00,5.387758E+03,0.000000E+00,3.302256E-01,0.000000E+00 
04:15:00,5.370239E+03,0.000000E+00,3.291518E-01,0.000000E+00,5.393931E+03,0.000000E+00,3.306039E-01,0.000000E+00,5.387758E+03,0.000000E+00,3.302256E-01,0.000000E+00,5.429038E+03,0.000000E+00,3.327557E-01,0.000000E+00,5.393931E+03,0.000000E+00,3.306039E-01,0.000000E+00,5.370239E+03,0.000000E+00,3.291518E-01,0.000000E+00,5.429038E+03,0.000000E+00,3.327557E-01,0.000000E+00,2.230452E+04,0.000000E+00,1.367085E+00,0.000000E+00,2.034755E+04,0.000000E+00,1.247139E+00,0.000000E+00,5.387758E+03,0.000000E+00,3.302256E-01,0.000000E+00 
04:30:00,5.370239E+03,0.000000E+00,3.291518E-01,0.000000E+00,5.393931E+03,0.000000E+00,3.306039E-01,0.000000E+00,5.387758E+03,0.000000E+00,3.302256E-01,0.000000E+00,5.429038E+03,0.000000E+00,3.327557E-01,0.000000E+00,5.393931E+03,0.000000E+00,3.306039E-01,0.000000E+00,5.370239E+03,0.000000E+00,3.291518E-01,0.000000E+00,5.429038E+03,0.000000E+00,3.327557E-01,0.000000E+00,2.230452E+04,0.000000E+00,1.367085E+00,0.000000E+00,2.034755E+04,0.000000E+00,1.247139E+00,0.000000E+00,5.387758E+03,0.000000E+00,3.302256E-01,0.000000E+00 
04:45:00,5.370239E+03,0.000000E+00,3.291518E-01,0.000000E+00,5.393931E+03,0.000000E+00,3.306039E-01,0.000000E+00,5.387758E+03,0.000000E+00,3.302256E-01,0.000000E+00,5.429038E+03,0.000000E+00,3.327557E-01,0.000000E+00,5.393931E+03,0.000000E+00,3.306039E-01,0.000000E+00,5.370239E+03,0.000000E+00,3.291518E-01,0.000000E+00,5.429038E+03,0.000000E+00,3.327557E-01,0.000000E+00,2.230452E+04,0.000000E+00,1.367085E+00,0.000000E+00,2.034755E+04,0.000000E+00,1.247139E+00,0.000000E+00,5.387758E+03,0.000000E+00,3.302256E-01,0.000000E+00 
05:00:00,5.370239E+03,0.000000E+00,3.291518E-01,0.000000E+00,5.393931E+03,0.000000E+00,3.306039E-01,0.000000E+00,5.387758E+03,0.000000E+00,3.302256E-01,0.000000E+00,5.429038E+03,0.000000E+00,3.327557E-01,0.000000E+00,5.393931E+03,0.000000E+00,3.306039E-01,0.000000E+00,5.370239E+03,0.000000E+00,3.291518E-01,0.000000E+00,5.429038E+03,0.000000E+00,3.327557E-01,0.000000E+00,2.230452E+04,0.000000E+00,1.367085E+00,0.000000E+00,2.034755E+04,0.000000E+00,1.247139E+00,0.000000E+00,5.387758E+03,0.000000E+00,3.302256E-01,0.000000E+00 
