Time,THERMAL ZONE 6:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6::Des Sens Cool Load [W],THERMAL ZONE 6:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6::Des Cool Mass Flow [kg/s],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9::Des Sens Cool Load [W],THERMAL ZONE 9:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9::Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3::Des Sens Cool Load [W],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3::Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4::Des Sens Cool Load [W],THERMAL ZONE 4:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4::Des Cool Mass Flow [kg/s],THERMAL ZONE 8:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
02:45:00,1.671197E+04,0.000000E+00,1.024308E+00,0.000000E+00,4.715871E+03,0.000000E+00,2.890444E-01,0.000000E+00,4.747364E+03,0.000000E+00,2.909747E-01,0.000000E+00,4.711246E+03,0.000000E+00,2.887609E-01,0.000000E+00,4.747364E+03,1.815670E+01,2.909747E-01,1.270679E-03,4.715871E+03,0.000000E+00,2.890444E-01,0.000000E+00,4.695139E+03,0.000000E+00,2.877737E-01,0.000000E+00,4.695139E+03,0.000000E+00,2.877737E-01,0.000000E+00,1.522874E+04,0.000000E+00,9.333978E-01,0.000000E+00,4.711246E+03,0.000000E+00,2.887609E-01,0.000000E+00 
03:00:00,1.671197E+04,0.000000E+00,1.024308E+00,0.000000E+00,4.715871E+03,0.000000E+00,2.890444E-01,0.000000E+00,4.747364E+03,0.000000E+00,2.909747E-01,0.000000E+00,4.711246E+03,0.000000E+00,2.887609E-01,0.000000E+00,4.747364E+03,4.046730E+00,2.909747E-01,2.832065E-04,4.715871E+03,0.000000E+00,2.890444E-01,0.000000E+00,4.695139E+03,0.000000E+00,2.877737E-01,0.000000E+00,4.695139E+03,0.000000E+00,2.877737E-01,0.000000E+00,1.522874E+04,0.000000E+00,9.333978E-01,0.000000E+00,4.711246E+03,0.000000E+00,2.887609E-01,0.000000E+00 
03:15:00,1.671197E+04,0.000000E+00,1.024308E+00,0.000000E+00,4.715871E+03,0.000000E+00,2.890444E-01,0.000000E+00,4.747364E+03,0.000000E+00,2.909747E-01,0.000000E+00,4.711246E+03,0.000000E+00,2.887609E-01,0.000000E+00,4.747364E+03,0.000000E+00,2.909747E-01,0.000000E+00,4.715871E+03,0.000000E+00,2.890444E-01,0.000000E+00,4.695139E+03,0.000000E+00,2.877737E-01,0.000000E+00,4.695139E+03,0.000000E+00,2.877737E-01,0.000000E+00,1.522874E+04,0.000000E+00,9.333978E-01,0.000000E+00,4.711246E+03,0.000000E+00,2.887609E-01,0.000000E+00 
03:30:00,1.671197E+04,0.000000E+00,1.024308E+00,0.000000E+00,4.715871E+03,0.000000E+00,2.890444E-01,0.000000E+00,4.747364E+03,0.000000E+00,2.909747E-01,0.000000E+00,4.711246E+03,0.000000E+00,2.887609E-01,0.000000E+00,4.747364E+03,0.000000E+00,2.909747E-01,0.000000E+00,4.715871E+03,0.000000E+00,2.890444E-01,0.000000E+00,4.695139E+03,0.000000E+00,2.877737E-01,0.000000E+00,4.695139E+03,0.000000E+00,2.877737E-01,0.000000E+00,1.522874E+04,0.000000E+00,9.333978E-01,0.000000E+00,4.711246E+03,0.000000E+00,2.887609E-01,0.000000E+00 
03:45:00,1.671197E+04,0.000000E+00,1.024308E+00,0.000000E+00,4.715871E+03,0.000000E+00,2.890444E-01,0.000000E+00,4.747364E+03,0.000000E+00,2.909747E-01,0.000000E+00,4.711246E+03,0.000000E+00,2.887609E-01,0.000000E+00,4.747364E+03,0.000000E+00,2.909747E-01,0.000000E+00,4.715871E+03,0.000000E+00,2.890444E-01,0.000000E+00,4.695139E+03,0.000000E+00,2.877737E-01,0.000000E+00,4.695139E+03,0.000000E+00,2.877737E-01,0.000000E+00,1.522874E+04,0.000000E+00,9.333978E-01,0.000000E+00,4.711246E+03,0.000000E+00,2.887609E-01,0.000000E+00 
04:00:00,1.671197E+04,0.000000E+00,1.024308E+00,0.000000E+00,4.715871E+03,0.000000E+00,2.890444E-01,0.000000E+00,4.747364E+03,0.000000E+00,2.909747E-01,0.000000E+00,4.711246E+03,0.000000E+00,2.887609E-01,0.000000E+00,4.747364E+03,0.000000E+00,2.909747E-01,0.000000E+00,4.715871E+03,0.000000E+00,2.890444E-01,0.000000E+00,4.695139E+03,0.000000E+00,2.877737E-01,0.000000E+00,4.695139E+03,0.000000E+00,2.877737E-01,0.000000E+00,1.522874E+04,0.000000E+00,9.333978E-01,0.000000E+00,4.711246E+03,0.000000E+00,2.887609E-01,0.000000E+00 
04:15:00,1.671197E+04,0.000000E+00,1.024308E+00,0.000000E+00,4.715871E+03,0.000000E+00,2.890444E-01,0.000000E+00,4.747364E+03,0.000000E+00,2.909747E-01,0.000000E+00,4.711246E+03,0.000000E+00,2.887609E-01,0.000000E+00,4.747364E+03,0.000000E+00,2.909747E-01,0.000000E+00,4.715871E+03,0.000000E+00,2.890444E-01,0.000000E+00,4.695139E+03,0.000000E+00,2.877737E-01,0.000000E+00,4.695139E+03,0.000000E+00,2.877737E-01,0.000000E+00,1.522874E+04,0.000000E+00,9.333978E-01,0.000000E+00,4.711246E+03,0.000000E+00,2.887609E-01,0.000000E+00 
04:30:00,1.671197E+04,0.000000E+00,1.024308E+00,0.000000E+00,4.715871E+03,0.000000E+00,2.890444E-01,0.000000E+00,4.747364E+03,0.000000E+00,2.909747E-01,0.000000E+00,4.711246E+03,0.000000E+00,2.887609E-01,0.000000E+00,4.747364E+03,0.000000E+00,2.909747E-01,0.000000E+00,4.715871E+03,0.000000E+00,2.890444E-01,0.000000E+00,4.695139E+03,0.000000E+00,2.877737E-01,0.000000E+00,4.695139E+03,0.000000E+00,2.877737E-01,0.000000E+00,1.522874E+04,0.000000E+00,9.333978E-01,0.000000E+00,4.711246E+03,0.000000E+00,2.887609E-01,0.000000E+00 
04:45:00,1.671197E+04,0.000000E+00,1.024308E+00,0.000000E+00,4.715871E+03,0.000000E+00,2.890444E-01,0.000000E+00,4.747364E+03,0.000000E+00,2.909747E-01,0.000000E+00,4.711246E+03,0.000000E+00,2.887609E-01,0.000000E+00,4.747364E+03,0.000000E+00,2.909747E-01,0.000000E+00,4.715871E+03,0.000000E+00,2.890444E-01,0.000000E+00,4.695139E+03,0.000000E+00,2.877737E-01,0.000000E+00,4.695139E+03,0.000000E+00,2.877737E-01,0.000000E+00,1.522874E+04,0.000000E+00,9.333978E-01,0.000000E+00,4.711246E+03,0.000000E+00,2.887609E-01,0.000000E+00 
05:00:00,1.671197E+04,0.000000E+00,1.024308E+00,0.000000E+00,4.715871E+03,0.000000E+00,2.890444E-01,0.000000E+00,4.747364E+03,0.000000E+00,2.909747E-01,0.000000E+00,4.711246E+03,0.000000E+00,2.887609E-01,0.000000E+00,4.747364E+03,0.000000E+00,2.909747E-01,0.000000E+00,4.715871E+03,0.000000E+00,2.890444E-01,0.000000E+00,4.695139E+03,0.000000E+00,2.877737E-01,0.000000E+00,4.695139E+03,0.000000E+00,2.877737E-01,0.000000E+00,1.522874E+04,0.000000E+00,9.333978E-01,0.000000E+00,4.711246E+03,0.000000E+00,2.887609E-01,0.000000E+00 
