Time,THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5::Des Sens Cool Load [W],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5::Des Cool Mass Flow [kg/s],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2::Des Sens Cool Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2::Des Cool Mass Flow [kg/s],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,2.836499E+03,0.000000E+00,1.738543E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00 
00:30:00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,2.836499E+03,0.000000E+00,1.738543E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00 
00:45:00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,2.836499E+03,0.000000E+00,1.738543E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00 
01:00:00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,2.836499E+03,0.000000E+00,1.738543E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00 
01:15:00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,2.836499E+03,0.000000E+00,1.738543E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00 
01:30:00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,2.836499E+03,0.000000E+00,1.738543E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00 
01:45:00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,2.836499E+03,0.000000E+00,1.738543E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00 
02:00:00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,2.836499E+03,0.000000E+00,1.738543E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00 
02:15:00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,2.836499E+03,0.000000E+00,1.738543E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00 
02:30:00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,2.836499E+03,0.000000E+00,1.738543E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00 
02:45:00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,2.836499E+03,0.000000E+00,1.738543E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00 
03:00:00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,2.836499E+03,0.000000E+00,1.738543E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00 
03:15:00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,2.836499E+03,0.000000E+00,1.738543E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00 
03:30:00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,2.836499E+03,0.000000E+00,1.738543E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00 
03:45:00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,2.836499E+03,0.000000E+00,1.738543E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00 
04:00:00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,2.836499E+03,0.000000E+00,1.738543E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00 
04:15:00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,2.836499E+03,0.000000E+00,1.738543E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00 
04:30:00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,2.836499E+03,0.000000E+00,1.738543E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00 
04:45:00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,2.836499E+03,0.000000E+00,1.738543E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00 
05:00:00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,2.836499E+03,0.000000E+00,1.738543E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00 
05:15:00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,2.836499E+03,0.000000E+00,1.738543E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00 
05:30:00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00,1.761434E+03,0.000000E+00,1.079615E-01,0.000000E+00,2.836499E+03,0.000000E+00,1.738543E-01,0.000000E+00,1.762806E+03,0.000000E+00,1.080456E-01,0.000000E+00 
